Year,State,Hospital_Type,ED_Wait_Min,Seen_On_Time_Percent,Admissions,Readmission_30_Days_Percent,Mortality_Per_1000,Avg_Cost_Per_Patient_AUD,Doctors,Nurses,ICU_Beds,Patient_Satisfaction_Percent,Profit_Million_AUD
2021,WA,Private,17.7,79,122511,19.33,5.31,8265,268,853,10,64,33.55
2021,WA,Public,25.8,89,113144,8.6,5.79,10089,524,262,16,80,65.78
2023,QLD,Public,25.3,68,84824,9.85,3.54,10965,472,708,85,66,-14.18
2023,QLD,Public,25.9,73,43525,7.76,7.69,12597,405,491,96,82,32.65
2022,WA,Public,26.2,92,77804,13.65,3.02,14329,509,1314,103,70,33.94
2024,SA,Private,23.9,90,35043,7.32,7.79,11708,552,1887,70,69,66.07
2024,WA,Public,32.4,61,61846,10.34,2.09,14356,76,1647,38,80,-10.24
2023,ACT,Private,17.0,84,97261,15.46,4.89,9569,272,1892,104,92,4.04
2024,SA,Public,20.9,73,122240,13.4,4.0,4491,739,1020,27,79,20.65
2024,QLD,Public,24.5,79,127611,10.8,4.69,8213,197,1588,50,92,66.58
2021,NSW,Private,16.8,70,70227,11.3,5.42,14881,473,349,141,94,73.89
2023,TAS,Public,24.1,94,73028,13.43,4.61,7228,788,1494,50,93,79.27
2025,ACT,Public,33.3,62,57383,5.09,4.49,10508,400,1080,132,86,75.92
2023,ACT,Public,25.1,72,49483,6.18,6.4,7409,235,1804,31,78,-19.41
2025,NT,Public,26.2,82,27265,18.22,6.12,3590,464,1339,89,64,-15.23
2021,QLD,Private,18.7,70,42763,6.17,7.0,10379,478,903,139,88,-5.24
2022,QLD,Private,21.9,73,95652,15.6,3.5,12735,90,715,45,69,14.89
2024,VIC,Public,23.1,71,35733,18.8,5.66,6056,442,1810,29,72,62.99
2021,ACT,Public,23.4,67,132196,9.06,5.51,5206,752,1464,76,88,69.27
2024,VIC,Public,31.4,61,111038,10.56,4.22,14531,128,229,129,64,-1.32
2022,VIC,Private,27.8,81,57420,13.53,4.92,5708,766,1366,64,71,41.97
2022,TAS,Private,19.4,64,141480,18.23,3.88,8981,593,525,75,72,71.74
2021,VIC,Private,26.2,88,128777,19.13,2.85,8722,499,1918,35,81,26.37
2022,SA,Private,27.5,90,29247,16.09,3.28,3747,523,1148,139,74,-9.65
2025,WA,Public,30.7,79,43840,6.3,2.63,11992,191,215,65,72,25.78
2022,NSW,Public,32.9,60,85149,15.04,6.1,9553,300,310,43,60,17.58
2024,QLD,Public,19.9,78,41058,11.15,5.96,4497,343,1071,65,60,37.77
2024,SA,Private,20.9,72,135229,12.06,7.7,4379,659,912,64,70,23.87
2024,NSW,Public,18.7,77,54929,5.74,6.38,11871,185,306,29,81,-18.27
2024,ACT,Private,23.8,60,104171,7.87,2.31,10360,533,578,59,94,79.4
2025,ACT,Private,27.3,83,111164,16.86,7.31,6770,361,361,93,65,34.35
2023,ACT,Public,29.9,79,51362,11.81,7.18,6342,604,482,62,87,27.36
2021,SA,Public,24.6,71,106489,9.52,4.66,12088,681,468,120,90,75.46
2024,SA,Public,23.4,78,104664,10.76,5.52,4546,781,683,121,67,-4.41
2022,QLD,Private,25.8,65,67356,17.82,7.86,6126,95,866,78,64,-1.08
2024,WA,Private,20.8,80,97597,16.23,5.19,8889,285,1296,11,76,60.8
2022,NT,Public,35.4,88,147880,9.08,7.43,9208,97,1420,25,68,6.08
2022,VIC,Public,17.0,82,26041,6.76,2.5,11875,247,1466,103,69,59.92
2024,ACT,Private,25.9,57,98209,8.78,3.15,4295,133,797,54,79,7.15
2025,TAS,Public,35.1,65,147037,18.81,4.64,4385,592,998,135,73,-16.68
2022,WA,Private,25.0,92,81954,13.72,5.51,3942,210,1482,33,73,31.7
2022,TAS,Private,24.0,68,81869,13.0,6.9,6280,477,997,124,85,-0.33
2024,QLD,Public,23.2,80,41059,13.95,7.93,4033,120,1372,132,88,55.78
2022,QLD,Public,24.1,75,119864,10.49,4.33,5786,569,589,148,86,44.12
2022,QLD,Public,31.9,93,64722,17.11,2.28,5233,101,615,87,84,72.36
2024,NSW,Public,13.9,84,37548,12.85,6.81,14837,94,625,126,75,58.3
2024,TAS,Private,32.7,62,35078,6.75,5.63,4620,342,1196,89,93,-1.92
2021,WA,Private,17.9,74,25419,6.94,3.19,6535,514,1925,59,75,60.02
2025,NT,Private,23.7,86,55490,13.05,4.97,6205,599,1440,94,92,44.17
2025,WA,Public,22.9,76,96086,19.05,6.45,5882,429,1066,13,62,46.9
2022,SA,Private,27.9,61,135158,9.63,6.62,3170,792,285,70,82,63.23
2025,SA,Public,17.0,63,78760,18.04,5.0,11140,527,1439,120,70,37.38
2022,ACT,Public,27.3,55,50337,16.46,3.83,12745,311,622,87,77,26.6
2021,NT,Public,35.1,83,21468,8.72,7.84,6897,629,1543,92,88,43.66
2024,SA,Public,18.2,62,44309,5.55,5.98,12787,228,317,142,64,9.8
2024,QLD,Public,25.9,58,86344,6.53,4.45,12815,406,1158,109,83,-1.74
2024,WA,Public,21.7,89,110283,15.93,3.68,7122,468,1081,40,88,41.66
2025,TAS,Private,27.1,57,92255,8.0,6.39,8109,747,1191,128,88,3.38
2021,QLD,Public,25.1,94,147006,10.57,3.45,12283,250,614,103,85,-12.01
2025,NSW,Private,21.8,61,101899,12.53,3.03,5837,62,798,39,62,-19.94
2025,SA,Private,27.4,81,48718,15.88,5.18,11599,492,239,64,61,40.83
2021,QLD,Public,34.0,55,114337,6.7,3.74,8228,775,1384,114,84,16.21
2021,QLD,Public,24.0,81,128895,11.1,5.77,7169,781,902,50,78,55.23
2021,NSW,Public,28.6,70,57841,12.28,2.71,9721,335,736,83,61,17.52
2021,VIC,Private,18.5,92,93548,13.11,5.93,3679,307,619,86,78,28.6
2024,WA,Public,20.2,61,103565,17.28,3.7,10429,619,863,94,60,20.71
2023,TAS,Private,27.4,77,66660,7.58,2.0,8487,597,294,113,86,45.06
2023,ACT,Public,32.4,65,126553,17.12,2.76,3236,539,1665,88,94,15.61
2021,VIC,Public,26.8,87,70281,15.39,7.6,13966,547,1781,93,64,76.38
2023,SA,Private,23.4,90,133451,13.34,7.2,14629,754,1172,142,63,73.61
2023,QLD,Private,25.0,91,136041,15.49,3.4,14549,382,849,133,76,64.8
2021,NT,Public,18.7,71,20767,11.18,6.67,9804,611,1689,41,80,72.03
2023,NSW,Private,28.0,89,23895,7.08,5.65,14069,81,487,15,90,24.91
2025,NSW,Private,29.4,59,78026,14.99,7.83,5423,659,1899,103,81,33.64
2022,NT,Private,22.7,86,138142,12.87,4.24,14339,92,611,35,70,54.21
2022,WA,Private,22.6,57,62968,14.59,6.09,4032,400,599,46,93,49.61
2021,VIC,Private,26.3,89,60097,10.07,2.38,9339,383,727,22,74,69.07
2024,ACT,Public,22.8,68,35332,18.6,4.38,14046,608,1241,102,69,51.63
2021,WA,Public,24.7,85,34621,13.81,7.78,5940,319,335,34,91,79.79
2024,NT,Private,35.5,85,96870,6.28,5.23,14893,462,1687,29,90,14.85
2022,QLD,Public,23.8,71,38174,11.75,3.73,8409,624,958,81,87,63.3
2021,NT,Public,23.2,78,144357,16.35,2.72,6132,68,1471,124,90,49.76
2025,WA,Private,21.8,77,119189,16.91,6.22,10080,396,1042,136,65,49.14
2023,TAS,Public,28.7,72,60502,12.42,5.87,14652,662,909,35,73,12.58
2024,NSW,Private,24.1,68,56674,18.42,4.24,7942,86,1224,63,82,58.56
2023,NSW,Private,21.8,69,57260,9.02,7.71,9961,668,1925,148,75,70.04
2023,SA,Public,31.6,69,62498,11.16,2.13,13115,141,580,134,84,1.85
2021,SA,Private,32.1,60,87609,18.48,3.82,10730,234,708,20,61,42.55
2023,NT,Private,22.0,81,69464,18.44,7.53,3633,777,1683,36,93,19.21
2025,ACT,Private,15.7,69,91805,15.29,3.93,9822,77,1728,103,84,78.95
2023,QLD,Private,30.0,90,84919,17.88,3.51,7103,597,1005,92,75,27.88
2021,TAS,Private,21.6,62,148564,6.33,5.21,12584,421,675,43,77,2.83
2025,VIC,Public,29.0,69,74469,17.97,6.94,9487,579,1780,47,72,18.19
2022,WA,Public,15.1,57,37194,9.81,2.62,6446,394,1153,96,86,45.38
2023,ACT,Private,29.5,67,46811,7.67,7.66,8738,468,1048,74,93,-12.39
2021,QLD,Private,18.9,88,92377,8.59,6.77,6098,245,1096,140,70,40.36
2022,SA,Public,28.7,78,145737,11.27,3.09,11097,127,231,61,60,73.12
2022,NT,Private,25.1,94,63723,8.77,6.27,8476,216,317,39,72,65.04
2024,WA,Public,20.2,86,120336,9.81,4.31,11253,139,1407,122,89,-13.23
2025,SA,Private,23.0,86,95235,7.02,4.41,8181,313,390,17,64,79.34
2023,NT,Private,28.4,84,131041,9.44,6.7,13661,521,1970,81,77,49.87
2021,WA,Private,25.5,67,96298,13.58,7.78,4817,257,1973,41,73,-3.77
2024,VIC,Private,27.9,55,79238,11.63,2.76,11824,773,1951,104,72,-18.76
2025,QLD,Private,34.9,88,148353,10.2,4.52,7887,320,273,50,91,-2.87
2024,WA,Private,17.2,69,125433,16.2,4.89,5598,312,822,84,66,63.82
2025,TAS,Private,33.1,68,137393,18.4,4.26,14643,555,1326,54,67,-17.84
2025,ACT,Public,25.5,83,127092,16.35,4.18,12492,561,1070,22,66,3.31
2023,NSW,Public,20.5,88,22147,9.98,2.31,5653,775,785,28,75,55.73
2025,TAS,Public,18.3,72,118919,16.17,6.11,4454,625,619,62,90,38.61
2024,TAS,Private,24.1,61,119251,7.28,4.62,4138,573,672,146,86,58.27
2025,ACT,Private,29.6,83,58445,6.95,3.17,8807,771,1987,12,92,54.62
2023,NSW,Private,24.4,85,73803,10.18,6.9,6192,361,313,105,88,-14.94
2023,TAS,Private,32.6,79,147253,17.12,6.82,9116,223,1602,145,67,69.25
2024,WA,Private,17.7,92,81108,8.7,4.92,13402,480,1536,23,92,2.7
2022,WA,Private,24.9,68,126170,5.95,3.79,6759,512,529,129,78,35.34
2022,WA,Private,18.7,62,22013,6.98,5.83,6029,150,538,140,80,44.43
2025,NSW,Public,26.8,81,105617,17.88,3.73,12552,65,437,22,80,-3.14
2021,TAS,Private,29.4,56,102410,14.51,3.42,13618,758,1396,81,84,77.62
2025,NT,Public,22.9,71,73502,8.8,6.38,8095,307,278,91,82,28.82
2024,NSW,Public,12.0,91,137116,13.33,2.24,3063,293,663,66,70,-14.24
2024,WA,Private,26.0,68,57755,12.91,2.57,4345,397,804,16,92,73.73
2024,ACT,Private,27.2,79,28733,14.83,2.04,3974,298,1724,121,79,38.63
2024,TAS,Public,27.0,84,29479,8.5,2.92,7161,154,761,57,84,49.92
2024,TAS,Public,31.2,83,95361,17.97,2.41,8962,743,484,89,85,32.52
2023,SA,Private,19.6,74,41304,9.64,7.97,14820,716,422,128,71,63.47
2022,SA,Private,28.4,75,55694,15.41,3.73,12814,336,792,129,91,-16.69
2024,VIC,Public,31.0,76,144232,5.24,2.9,11649,218,1489,69,92,6.84
2021,NT,Private,16.1,89,125586,10.59,3.45,9596,469,1890,42,69,26.96
2021,NT,Private,26.6,91,101171,10.28,7.62,6330,96,572,124,63,-12.34
2021,QLD,Private,22.5,70,134151,13.15,5.12,4740,92,1456,137,74,50.59
2021,NT,Public,24.6,71,106296,6.09,4.19,14218,370,1110,12,65,19.37
2023,SA,Public,26.7,70,29490,16.85,7.24,9055,270,1027,13,86,7.27
2021,NSW,Public,22.6,56,41252,8.27,4.37,9321,562,435,109,64,-19.66
2024,NT,Private,21.6,58,125290,15.16,4.01,4954,761,870,13,64,51.98
2025,SA,Private,25.2,75,26862,17.05,3.24,3279,490,1027,51,77,63.38
2021,VIC,Public,19.6,93,130463,13.43,4.27,5391,193,962,18,87,19.5
2023,TAS,Public,19.6,88,89959,16.11,3.9,12232,77,1537,60,94,36.42
2023,NT,Public,28.4,84,30450,14.93,6.06,9439,602,579,106,81,2.77
2021,VIC,Private,19.3,60,76022,10.33,3.74,3961,708,993,29,93,42.22
2025,TAS,Public,28.3,71,147898,17.13,5.46,9827,739,813,31,63,-18.79
2021,ACT,Public,27.3,93,81991,9.42,2.4,4217,216,762,36,77,28.86
2023,ACT,Private,16.4,79,60927,13.57,3.15,14412,684,619,52,85,44.42
2022,TAS,Private,21.6,59,120377,16.18,4.44,11566,635,251,140,81,71.82
2024,NT,Private,31.0,59,108090,10.68,7.62,9007,298,1944,103,92,18.13
2023,QLD,Public,20.1,74,69853,9.54,4.26,7130,406,1018,17,73,56.52
2021,SA,Private,22.7,70,51826,11.89,5.98,4392,160,1866,95,90,39.77
2024,NSW,Private,27.3,91,62879,17.27,3.53,5076,741,1732,98,69,72.7
2021,NSW,Public,28.9,94,77265,18.95,2.76,11966,749,404,147,83,19.84
2021,WA,Private,23.7,63,92361,13.18,2.35,7316,768,1200,122,80,11.91
2022,TAS,Public,22.0,59,128956,14.92,3.83,9196,283,930,30,67,68.71
2024,NSW,Public,32.1,56,97990,18.55,2.95,14616,73,456,18,91,-15.08
2024,NT,Private,33.7,63,109787,6.48,3.04,13315,75,384,45,90,-6.36
2022,QLD,Private,29.9,90,106184,8.48,6.56,7589,430,344,45,93,-11.76
2023,TAS,Private,25.4,76,60736,15.63,2.1,14785,779,1913,82,82,64.31
2021,QLD,Private,21.0,76,44530,17.36,5.35,11142,395,1237,10,84,-18.94
2025,NT,Private,20.8,76,98052,17.86,4.28,9260,427,445,78,66,66.17
2021,NSW,Private,27.6,88,67058,11.23,5.04,11471,571,386,46,78,25.13
2021,NSW,Public,27.1,83,126080,6.34,5.38,10897,66,1560,81,66,-19.6
2023,WA,Public,32.0,92,94094,11.57,3.88,7841,294,1482,116,67,20.16
2021,NSW,Private,28.3,87,94255,8.46,3.77,14003,767,1065,105,73,-1.32
2022,TAS,Public,17.5,72,24886,9.37,6.4,13534,673,239,93,60,42.44
2022,NT,Private,30.3,61,146598,16.58,7.23,10161,766,800,52,72,47.94
2024,ACT,Public,20.0,55,113721,6.13,3.16,12666,588,1860,46,62,28.75
2025,NT,Public,23.1,87,138623,17.41,2.59,13049,632,1161,34,87,-15.95
2021,TAS,Public,26.3,55,57387,11.42,7.39,14081,737,1641,82,74,45.61
2021,TAS,Private,35.0,78,41575,13.94,4.1,4059,251,1185,51,62,64.2
2023,WA,Public,40.5,58,132260,6.34,5.31,4922,297,1574,11,63,52.03
2022,WA,Private,28.0,58,128649,10.06,4.16,14991,167,208,145,64,63.0
2025,NSW,Public,24.1,72,59643,6.35,2.75,9101,58,549,105,85,0.05
2024,VIC,Public,27.7,81,30100,19.42,5.54,7592,647,283,70,84,68.89
2022,NT,Public,29.4,86,80356,17.11,5.15,9349,72,732,23,69,12.22
2024,NT,Public,23.4,87,27856,11.89,3.22,5473,289,1188,122,67,-18.66
2023,VIC,Public,34.0,82,58169,8.35,4.71,11108,634,557,86,71,64.34
2023,WA,Private,26.2,90,48804,19.0,6.78,11096,76,577,30,62,74.18
2021,NSW,Private,27.5,60,149557,10.17,5.54,13043,130,371,73,86,45.56
2025,VIC,Public,28.3,70,55790,7.41,2.58,14733,645,1248,66,82,3.14
2024,NSW,Public,27.1,88,50988,13.45,5.29,9748,248,592,128,92,5.17
2022,NSW,Public,29.2,77,129979,19.16,6.22,7549,604,1326,61,73,26.66
2023,NSW,Public,21.9,78,96448,5.06,6.76,3594,141,901,104,82,69.78
2021,SA,Private,22.2,67,58506,8.57,5.77,8452,133,1459,149,90,-5.04
2021,TAS,Public,19.5,72,133430,19.08,2.92,3506,349,1633,98,72,62.6
2024,NSW,Private,27.2,67,107904,7.57,6.26,7889,345,748,19,71,9.13
2023,SA,Public,28.9,91,87306,6.7,6.06,10637,696,983,61,94,60.86
2025,WA,Private,27.3,93,32305,13.55,2.15,11212,503,531,43,77,72.03
2023,VIC,Public,33.4,71,29969,17.93,4.47,4399,330,1887,124,80,22.75
2024,TAS,Public,25.0,69,32404,12.16,4.0,6201,108,993,145,60,16.51
2024,ACT,Private,28.3,72,28989,19.92,6.02,10854,391,1755,134,68,60.22
2023,VIC,Public,19.5,77,85305,15.19,3.3,9763,514,848,52,82,32.95
2024,TAS,Public,23.1,84,55983,6.11,5.55,13653,391,1182,38,73,48.44
2023,ACT,Public,28.5,88,130284,19.89,7.48,10962,659,1252,115,70,42.28
2022,VIC,Private,29.2,58,59462,11.12,6.79,8190,111,742,129,66,-4.71
2023,TAS,Public,23.5,57,39360,9.31,7.53,8681,674,1242,90,90,64.48
2023,VIC,Public,24.6,61,105657,13.37,7.87,6678,478,1371,40,83,-0.42
2024,VIC,Private,17.4,72,46287,9.56,2.06,3336,707,1694,137,85,73.23
2024,ACT,Private,23.2,61,85472,6.3,5.74,4667,777,690,47,89,5.06
2021,VIC,Private,29.5,94,135440,5.02,4.48,14768,305,482,110,93,53.39
2021,VIC,Public,27.9,60,128965,11.74,7.16,3909,755,1061,141,64,8.47
2022,ACT,Public,27.5,76,81313,17.55,3.51,11467,396,1898,139,64,11.78
2021,WA,Public,25.2,55,54160,13.58,7.89,12083,575,312,21,78,11.0
2023,NSW,Private,25.0,58,26789,19.99,5.68,11204,353,1678,44,87,54.79
2024,NT,Public,21.7,83,47181,9.3,6.76,8122,664,1885,119,85,35.68
2021,QLD,Public,28.5,75,34385,9.21,2.51,11153,294,1553,81,82,68.3
2021,SA,Private,27.1,80,102597,7.4,3.1,14217,785,1478,119,89,10.74
2022,QLD,Private,27.5,68,85641,7.46,6.55,3973,781,1822,70,62,49.2
2022,QLD,Private,22.4,63,64247,9.28,2.13,7270,461,1622,57,87,55.29
2023,TAS,Private,14.2,66,106673,16.89,6.9,4408,266,1061,80,92,-4.85
2024,NSW,Private,30.5,60,120250,18.59,2.08,13135,565,809,143,62,20.06
2022,TAS,Public,22.6,74,25544,19.63,5.94,5288,523,707,77,64,28.28
2021,NSW,Private,20.7,78,135783,8.48,4.19,11738,85,1867,31,78,15.57
2024,ACT,Public,28.5,81,33275,18.22,5.67,4218,227,665,41,60,12.21
2024,ACT,Public,23.0,92,125289,9.92,6.18,4420,436,1023,132,68,48.64
2021,NT,Private,30.3,62,83248,6.69,4.05,12646,66,1630,31,64,1.59
2022,NSW,Private,28.1,55,54550,18.05,2.65,6377,760,808,119,93,50.94
2021,VIC,Private,28.4,78,73693,14.54,2.42,10501,97,1321,24,92,73.5
2024,WA,Public,18.2,61,148924,7.47,5.53,13964,111,489,133,84,36.52
2025,NT,Private,31.1,73,39641,11.45,5.12,7098,118,1067,53,88,41.14
2025,NT,Private,26.3,76,91749,9.31,6.45,5738,708,1962,124,84,-13.11
2023,VIC,Private,23.2,89,144877,16.05,5.06,10619,415,1880,18,68,66.45
2021,WA,Private,25.7,84,100021,11.8,4.53,14939,211,1379,43,62,8.54
2021,TAS,Private,16.1,83,35605,19.84,4.39,4842,788,981,82,74,41.51
2023,WA,Public,27.0,76,123173,5.82,2.16,11938,537,361,54,63,77.91
2023,TAS,Public,19.9,65,70713,10.33,4.01,5816,480,823,81,79,39.55
2023,ACT,Public,18.2,74,40390,12.23,7.86,12063,538,1920,67,82,52.47
2024,QLD,Private,17.4,83,95403,12.55,7.24,3494,279,916,124,67,24.53
2021,ACT,Private,30.6,88,78466,9.74,3.98,9560,419,1320,28,92,-13.96
2024,ACT,Private,21.9,55,23981,15.94,5.53,8510,227,1600,25,92,59.76
2023,QLD,Public,32.7,85,29493,18.12,7.08,6444,459,766,84,66,-16.5
2021,WA,Private,22.3,84,91218,19.08,4.65,12267,617,1673,115,81,50.07
2024,NT,Private,16.5,72,91318,17.08,2.11,10543,639,1193,145,64,-17.71
2024,WA,Private,19.4,71,135631,17.76,2.45,10562,319,1340,83,74,66.23
2023,TAS,Public,31.2,92,139238,13.26,5.06,6994,255,1828,27,80,-4.24
2021,VIC,Private,24.2,68,115335,17.39,7.82,10253,789,1939,52,84,31.43
2023,TAS,Public,22.3,77,127441,9.55,6.16,3045,131,1729,59,76,39.72
2021,VIC,Private,25.8,79,36984,10.98,2.43,14248,242,1412,12,66,25.75
2025,ACT,Public,27.5,69,145580,9.75,3.14,5057,667,1699,68,78,14.08
2022,QLD,Public,30.6,76,131316,12.01,6.63,3663,238,1546,37,66,26.78
2022,ACT,Public,32.2,57,42760,9.28,7.05,7668,325,795,55,83,11.14
2022,NSW,Private,23.2,73,111529,19.42,5.71,5029,123,1403,73,70,23.81
2023,WA,Private,18.4,88,21524,9.69,5.87,8717,59,1404,79,60,15.89
2025,VIC,Public,22.9,89,138454,6.47,2.17,5696,684,1158,56,91,36.62
2021,TAS,Public,26.3,55,69402,12.9,6.97,11831,265,1916,144,61,3.79
2024,QLD,Private,20.2,75,111656,5.86,6.73,5663,339,1212,115,74,78.87
2021,VIC,Private,20.2,83,85614,6.66,3.55,5745,494,1510,90,80,30.09
2024,TAS,Public,26.7,60,55891,8.29,6.25,8004,601,674,60,83,-0.58
2021,WA,Private,24.8,91,111009,11.97,3.29,9321,242,817,38,76,27.71
2025,ACT,Private,25.2,55,59832,11.5,2.24,8125,688,840,122,68,66.64
2024,WA,Private,21.2,55,65836,17.0,3.21,7948,338,461,137,94,-17.82
2023,SA,Private,23.8,81,93953,16.09,3.07,7402,632,1746,99,79,47.96
2021,NSW,Public,20.4,75,33362,11.39,4.03,13787,698,361,34,78,34.8
2021,SA,Private,29.5,70,86745,10.01,4.51,6427,193,1710,50,77,-3.04
2024,QLD,Private,30.2,94,57921,9.75,5.05,8912,438,380,78,79,61.75
2023,VIC,Public,15.8,80,90434,16.61,4.86,3394,456,924,13,89,16.89
2023,QLD,Public,20.4,70,147717,5.78,3.62,6597,419,668,114,60,9.38
2025,ACT,Private,17.5,82,38562,5.19,2.18,13524,490,220,40,83,62.81
2023,TAS,Private,21.7,55,84510,16.93,5.63,3329,700,1498,140,83,43.85
2023,WA,Private,24.6,90,96407,12.16,4.37,13289,613,459,126,78,69.83
2023,SA,Private,17.8,64,27610,6.96,3.79,3772,578,1556,99,89,42.99
2022,NT,Public,20.4,71,129381,8.53,7.2,11135,726,665,75,85,54.08
2025,SA,Public,20.0,77,112918,18.99,6.48,4645,62,1339,97,88,63.64
2021,ACT,Public,26.0,61,35791,17.89,7.15,12924,751,1636,33,72,-14.53
2024,SA,Private,25.3,61,78047,15.65,4.97,4787,389,736,108,63,57.6
2021,ACT,Private,21.4,69,120848,12.23,2.79,12815,361,1151,114,76,41.37
2025,NT,Private,25.9,88,123826,12.8,6.18,3999,782,965,28,92,-13.05
2024,QLD,Private,22.3,58,87906,19.63,3.24,4848,153,1158,75,64,30.86
2025,WA,Public,23.6,68,39665,19.49,4.65,4561,388,1946,69,87,-11.75
2023,VIC,Public,33.4,68,90246,8.23,2.39,3773,247,1133,124,83,53.59
2024,TAS,Private,31.7,70,85864,17.17,6.95,10311,349,1050,24,76,34.65
2023,VIC,Public,18.5,61,66451,7.96,2.76,8179,493,1480,94,70,75.36
2021,QLD,Private,29.1,86,123883,8.2,7.42,4803,408,1391,97,71,-1.69
2021,TAS,Private,29.1,73,106148,15.14,7.19,12290,417,732,16,72,40.6
2024,SA,Public,19.3,56,65890,11.08,4.79,5050,218,1821,15,67,1.16
2024,NT,Private,29.1,64,26794,18.97,6.47,12790,198,214,134,60,41.41
2025,NT,Private,32.7,71,52888,6.34,5.72,3747,91,249,42,68,52.26
2025,NSW,Public,19.4,91,26749,12.67,6.82,11125,251,1198,67,87,52.23
2023,QLD,Private,20.4,66,66531,18.78,4.59,8860,293,503,119,61,61.51
2024,QLD,Private,30.1,60,135652,18.56,6.71,6973,718,1710,51,73,65.36
2021,WA,Public,26.4,76,40608,7.35,4.77,13514,513,615,103,72,-12.27
2025,VIC,Private,27.8,86,100986,10.5,7.65,12745,498,504,138,61,14.33
2025,QLD,Public,26.7,74,89211,14.29,4.92,4615,486,395,88,63,48.71
2021,QLD,Private,27.0,55,140382,7.39,4.78,6754,799,1012,104,71,29.86
2025,SA,Public,18.4,60,103996,19.52,6.71,13494,580,999,120,69,-0.93
2023,SA,Public,30.2,73,76017,18.72,6.93,8506,614,587,106,62,35.27
2024,TAS,Public,30.8,72,123947,7.5,5.33,7221,646,956,128,63,20.74
2021,ACT,Private,23.9,60,77676,6.82,3.08,14847,322,654,78,65,19.0
2024,ACT,Public,24.8,87,31560,6.28,4.81,14587,479,912,142,82,60.98
2025,NSW,Public,17.3,77,74401,18.64,7.81,8291,262,904,61,64,20.76
2025,ACT,Public,27.6,77,70468,7.9,6.52,8854,153,1047,131,62,-17.35
2021,WA,Public,27.9,80,135884,11.24,6.87,3216,241,1881,38,69,-14.19
2023,NSW,Public,24.7,67,52463,11.73,2.2,14508,738,1533,145,78,65.62
2022,TAS,Private,30.6,61,51663,13.99,4.81,4359,708,1350,113,73,76.06
2021,SA,Private,23.3,69,133687,6.08,5.88,6774,429,374,10,80,48.84
2022,ACT,Private,27.8,81,88706,8.4,6.98,8417,130,1357,38,87,16.44
2022,VIC,Private,19.9,80,78773,18.97,2.3,7927,754,1289,78,80,73.86
2023,SA,Private,24.9,87,53123,18.63,7.11,7429,598,1616,62,83,46.28
2022,NT,Private,24.1,69,114346,16.72,5.29,7606,426,1588,133,76,64.43
2022,WA,Private,26.1,90,29718,5.29,3.18,7478,203,478,97,81,56.59
2023,SA,Public,23.2,81,146777,9.91,3.9,4896,691,957,92,78,17.91
2022,WA,Private,24.3,59,82637,14.42,3.69,10366,620,562,21,69,27.87
2022,WA,Public,29.1,56,20028,9.13,5.19,7427,785,1972,61,70,-1.39
2022,WA,Public,22.8,87,82370,18.64,2.31,8361,289,370,138,61,9.2
2021,TAS,Private,17.0,70,67599,14.51,2.95,12091,423,1274,144,92,57.81
